epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,17439.9,0.94272,0.92183,1.16402,0.03358,0.80109,0.41271,0.48077,0.31087,1.20625,1.17824,1.33065,0.04227,0.000478762,0.000478762,0.000478762
38,17778.1,0.92676,0.89278,1.1596,0.03063,0.73057,0.44461,0.47668,0.30943,1.16516,1.15402,1.29064,0.03986,0.000445756,0.000445756,0.000445756
39,18103.6,0.93018,0.89803,1.16782,0.03337,0.70868,0.45154,0.4737,0.30353,1.21215,1.16866,1.29306,0.03913,0.000412749,0.000412749,0.000412749
40,18491.1,0.9101,0.8884,1.14637,0.03251,0.79201,0.43868,0.48619,0.31191,1.18599,1.16571,1.29489,0.0393,0.000379743,0.000379743,0.000379743
41,18847.9,1.01748,0.97482,1.18017,0.03217,0.83435,0.42781,0.48605,0.31351,1.19044,1.13983,1.29338,0.03972,0.000346736,0.000346736,0.000346736
42,19194.8,0.99402,0.96181,1.16175,0.0341,0.78902,0.43527,0.48693,0.32087,1.1532,1.12465,1.27052,0.03856,0.000313729,0.000313729,0.000313729
43,19513.6,0.98633,0.9426,1.1567,0.0334,0.82442,0.44654,0.48857,0.32016,1.14623,1.10171,1.28857,0.04025,0.000280723,0.000280723,0.000280723
44,19860.9,0.98224,0.93989,1.15112,0.03412,0.76547,0.46389,0.48954,0.32154,1.17613,1.12335,1.27917,0.04052,0.000247716,0.000247716,0.000247716
45,20217.5,0.94516,0.90752,1.13983,0.03276,0.78133,0.45824,0.48722,0.32385,1.13149,1.09789,1.28399,0.03938,0.00021471,0.00021471,0.00021471
46,20526.2,0.95065,0.90251,1.13487,0.03245,0.74531,0.45978,0.48542,0.32438,1.1137,1.08608,1.25818,0.03859,0.000181703,0.000181703,0.000181703
47,20874.3,0.92555,0.88227,1.12141,0.03186,0.79698,0.45187,0.48801,0.32935,1.1052,1.07957,1.26768,0.03843,0.000148696,0.000148696,0.000148696
48,21243.4,0.92693,0.89893,1.11989,0.032,0.80278,0.44647,0.48946,0.33231,1.10434,1.0643,1.25394,0.03852,0.00011569,0.00011569,0.00011569
49,21611.6,0.91419,0.87293,1.11445,0.02917,0.74133,0.46418,0.48894,0.32961,1.10488,1.07462,1.25432,0.03897,8.26832e-05,8.26832e-05,8.26832e-05
50,21981.5,0.90409,0.86812,1.10944,0.03058,0.78451,0.45005,0.48724,0.3312,1.08892,1.06555,1.24418,0.03834,4.96766e-05,4.96766e-05,4.96766e-05
